index,name,ELO,fGoals,aGoals,num_matches,fGoals_p_match,aGoals_p_match,team_code
Belarus,Belarus,1101.3631211963666,326,409,279,1.168458781362007,1.4659498207885304,27
El Salvador,El Salvador,1241.6773962137806,676,802,548,1.2335766423357664,1.4635036496350364,83
Barbados,Barbados,925.3578246132894,350,461,275,1.2727272727272727,1.6763636363636363,25
Republic of Ireland,Republic of Ireland,1322.5389063103091,812,723,594,1.367003367003367,1.2171717171717171,221
Trinidad and Tobago,Trinidad and Tobago,1160.506226281773,1180,909,694,1.7002881844380404,1.3097982708933718,280
Greece,Greece,1357.4614019059634,731,810,592,1.2347972972972974,1.3682432432432432,109
Curaçao,Curaçao,1168.845589129745,551,556,345,1.5971014492753624,1.6115942028985508,71
Dominica,Dominica,918.6998888269453,224,384,191,1.1727748691099475,2.0104712041884816,79
Silesia,Silesia,1016.9304495577416,25,18,8,3.125,2.25,247
Guadeloupe,Guadeloupe,1113.4297225482048,409,364,246,1.6626016260162602,1.4796747967479675,112
Israel,Israel,1286.0603154468308,666,673,454,1.4669603524229076,1.4823788546255507,133
Suriname,Suriname,1168.6205518864385,706,523,364,1.9395604395604396,1.4368131868131868,262
French Guiana,French Guiana,1168.1150328909662,245,283,163,1.5030674846625767,1.7361963190184049,97
Cuba,Cuba,1123.8530087875301,467,528,353,1.3229461756373937,1.4957507082152974,70
Colombia,Colombia,1559.3611411885688,712,679,580,1.2275862068965517,1.1706896551724137,61
Ecuador,Ecuador,1495.0754550879853,669,876,549,1.2185792349726776,1.5956284153005464,81
Saint Kitts and Nevis,Saint Kitts and Nevis,1057.5489082436093,324,291,188,1.7234042553191489,1.547872340425532,232
Panama,Panama,1391.896299257722,554,714,466,1.1888412017167382,1.5321888412017168,208
Slovakia,Slovakia,1243.2973196584314,461,409,325,1.4184615384615384,1.2584615384615385,250
Manchukuo,Manchukuo,968.85511512493,1,17,3,0.3333333333333333,5.666666666666667,166
Croatia,Croatia,1588.352951691264,614,359,354,1.734463276836158,1.0141242937853108,69
Nicaragua,Nicaragua,1088.5187874771534,174,473,178,0.9775280898876404,2.657303370786517,190
Afghanistan,Afghanistan,977.2406605284019,127,239,121,1.0495867768595042,1.975206611570248,1
India,India,1062.410452331754,602,729,435,1.3839080459770114,1.6758620689655173,126
Martinique,Martinique,1179.0931876771383,565,404,310,1.8225806451612903,1.303225806451613,168
Zimbabwe,Zimbabwe,1071.642168251554,652,559,484,1.3471074380165289,1.1549586776859504,314
Iceland,Iceland,1263.2275369661145,573,804,479,1.196242171189979,1.6784968684759916,125
Albania,Albania,1206.271928525757,334,553,358,0.9329608938547486,1.5446927374301676,2
Venezuela,Venezuela,1353.170188506996,422,789,411,1.02676399026764,1.9197080291970803,297
Madagascar,Madagascar,1093.051334627697,310,372,241,1.2863070539419088,1.5435684647302905,159
Zambia,Zambia,1163.3278279332649,1200,804,766,1.566579634464752,1.0496083550913837,312
Mauritius,Mauritius,809.1006909755486,331,455,267,1.2397003745318351,1.7041198501872659,172
